"Seviye","Kelime","Tür","Anlam","Cümle"
"A1 2 M","countryside","noun","kırsal bölge, doğa","They live in the countryside. Kırsal bölgede yaşıyorlar."
"A1 2 M","cry","verb","ağlamak","The baby started to cry. Bebek ağlamaya başladı."
"A1 2 M","cup","noun","fincan, kupa","She gave me a cup of tea. Bana bir fincan çay verdi."
"A1 2 M","curly","adjective","kıvırcık","She has short curly hair. Kısa kıvırcık saçları var."
"A1 2 M","Daisy","noun","özel isim (Daisy)","Daisy is playing with her kitten. Daisy kedisiyle oynuyor."
"A1 2 M","dance","noun + verb","dans / dans etmek","They love to dance at parties. Partilerde dans etmeyi severler."
"A1 2 M","dangerous","adjective","tehlikeli","Swimming here is dangerous. Burada yüzmek tehlikelidir."
"A1 2 M","daughter","noun","kız evlat, kız çocuk","They have two sons and a daughter. İki oğulları ve bir kızları var."
"A1 2 M","dentist","noun","diş hekimi","I have an appointment with the dentist. Diş hekimiyle randevum var."
"A1 2 M","diffcult","adjective","zor, güç","This math question is difficult. Bu matematik sorusu zor."
"A1 2 M","difference","noun","fark","Can you spot the difference? Farkı bulabilir misin?"
"A1 2 M","different","adjective","farklı","We have different opinions. Farklı görüşlerimiz var."
"A1 2 M","doctor","noun","doktor","She went to see a doctor. Doktora görünmeye gitti."
"A1 2 M","dolphin","noun","yunus","We saw dolphins swimming in the sea. Denizde yüzen yunuslar gördük."
"A1 2 M","down","adv + prep","aşağı, aşağıya","He walked down the stairs. Merdivenlerden aşağıya yürüdü."
"A1 2 M","downstairs","adv + n","alt kat, alt kata","Go downstairs and open the door. Alt kata in ve kapıyı aç."
"A1 2 M","dream","noun + var","rüya, hayal / rüya görmek","I had a strange dream last night. Dün gece tuhaf bir rüya gördüm."
"A1 2 M","dress up","verb","kostüm giymek, kılık değiştirmek","Children love to dress up at parties. Çocuklar partilerde kostüm giymeyi sever."
"A1 2 M","drive","noun","araba gezisi","Let's go for a drive in the country. Kırsalda bir araba gezisine çıkalım."
"A1 2 M","driver","noun","sürücü, şoför","The bus driver was very polite. Otobüs şoförü çok kibardı."
"A1 2 M","drop","verb","düşürmek","He dropped his phone on the floor. Telefonunu yere düşürdü."
"A1 2 M","dry","adj + verb","kuru / kurutmak","Wipe your hands with a dry towel. Ellerini kuru bir havluyla sil."
"A1 2 M","DVD","noun","DVD","We watched a movie on DVD. DVD'de bir film izledik."
"A1 2 M","earache","noun","kulak ağrısı","He couldn't sleep because of an earache. Kulak ağrısı yüzünden uyuyamadı."
"A1 2 M","easy","adjective","kolay","This test was very easy. Bu test çok kolaydı."
"A1 2 M","e-book","noun","e-kitap","I prefer reading e-books on my tablet. Tabletimde e-kitap okumayı tercih ederim."
"A1 2 M","elevator (UK lift)","noun","asansör","Take the elevator to the fifth floor. Beşinci kata asansörle çık."
"A1 2 M","email","noun + verb","e-posta / e-posta göndermek","I sent an email to my teacher. Öğretmenime bir e-posta gönderdim."
"A1 2 M","every","determiner","her","Every student has a book. Her öğrencinin bir kitabı var."
"A1 2 M","everyone","pronoun","herkes","Everyone enjoyed the party. Herkes partiden keyif aldı."
"A1 2 M","everything","pronoun","her şey","Everything is ready for the trip. Gezi için her şey hazır."
"A1 2 M","exciting","adjective","heyecan verici","It was an exciting football match. Heyecan verici bir futbol maçıydı."
"A1 2 M","excuse me","discourse","afedersiniz, bakar mısınız","Excuse me, where is the station? Afedersiniz, istasyon nerede?"
"A1 2 M","fair","adjective","adil, adaletli","The teacher made a fair decision. Öğretmen adil bir karar verdi."
"A1 2 M","fall","verb","düşmek","He fell off his bike and hurt his arm. Bisikletinden düşüp kolunu incitti."
"A1 2 M","famous","adjective","ünlü, tanınmış","Tarkan is a very famous singer. Tarkan çok ünlü bir şarkıcıdır."
"A1 2 M","farm","noun","çiftlik","Cows and sheep live on the farm. Çiftlikte inekler ve koyunlar yaşar."
"A1 2 M","farmer","noun","çiftçi","The farmer works hard all day. Çiftçi bütün gün çok çalışır."
"A1 2 M","fat","adjective","şişman, kilolu","The cat is a bit fat. Kedi biraz şişman."
"A1 2 M","feed","verb","beslemek","It's time to feed the dog. Köpeği besleme zamanı."
"A1 2 M","feld","noun","tarla, saha","The cows are grazing in the field. İnekler tarlada otluyor."
"A1 2 M","first","adj + adv","birinci, ilk","He finished the race first. Yarışı birinci bitirdi."
"A1 2 M","fish","verb","balık tutmak","They went fishing by the lake. Göl kenarında balık tutmaya gittiler."
"A1 2 M","fix","verb","tamir etmek","He is trying to fix his bike. Bisikletini tamir etmeye çalışıyor."
"A1 2 M","flm (US movie)","noun + var","film / film çekmek","We watched a great film last night. Dün gece harika bir film izledik."
"A1 2 M","flm (US movie) star","noun","film yıldızı","He wants to become a film star. Bir film yıldızı olmak istiyor."
"A1 2 M","ﬂoor (e.g. ground, 1st)","noun","kat (örneğin zemin kat, 1. kat)","Our office is on the first floor. Ofisimiz birinci kattadır."
"A1 2 M","ﬂy","noun","karasinek","A fly landed on my desk. Masamın üzerine bir karasinek kondu."
"A1 2 M","fne","adj + exclamation","iyi, güzel, hoş","I am fine, thank you. İyiyim, teşekkür ederim."
"A1 2 M","for ability","verb","-ebilme yeteneği için","She can speak English fluently. Akıcı bir şekilde İngilizce konuşabiliyor."
"A1 2 M","forest","noun","orman","Many animals live in the deep forest. Derin ormanda birçok hayvan yaşar."
"A1 2 M","Fred","noun","özel isim (Fred)","Fred has a new bicycle. Fred'in yeni bir bisikleti var."
"A1 2 M","Friday","noun","cuma","We have a test on Friday. Cuma günü bir sınavımız var."
"A1 2 M","frightened","adjective","korkmuş","The little boy was frightened of the dog. Küçük çocuk köpekten korkmuştu."
"A1 2 M","funfair","noun","lunapark","We had a lot of fun at the funfair. Lunaparkta çok eğlendik."
"A1 2 M","get dressed","verb","giyinmek","He woke up and got dressed quickly. Uyanıp çabucak giyindi."
"A1 2 M","get off","verb","inmek (araçtan)","Get off the bus at the next stop. Sonraki durakta otobüsten in."
"A1 2 M","get on","verb","binmek (araca)","Get on the train quickly. Hızlıca trene bin."
"A1 2 M","get undressed","verb","soyunmak","He got undressed before going to bed. Yatmadan önce soyundu."
"A1 2 M","get up","verb","kalkmak (yataktan)","I usually get up at seven o'clock. Genellikle saat yedi de kalkarım."
"A1 2 M","glass","noun","bardak, cam","He drank a glass of milk. Bir bardak süt içti."
"A1 2 M","go shopping","verb","alışverişe gitmek","She went shopping with her mother. Annemizle alışverişe gitti."
"A1 2 M","goal","noun","gol, amaç","He scored a brilliant goal. Harika bir gol attı."
"A1 2 M","granddaughter","noun","kız torun","They love playing with their granddaughter. Kız torunlarıyla oynamayı severler."
"A1 2 M","grandparent","noun","büyükanne veya büyükbaba","His grandparents live in a village. Büyükannesi ve büyükbabası bir köyde yaşıyor."
"A1 2 M","grandson","noun","erkek torun","Their grandson is visiting them. Erkek torunları onları ziyaret ediyor."
"A1 2 M","grass","noun","çim, çimen","The grass in the garden is green. Bahçedeki çimler yeşildir."
"A1 2 M","ground","noun","yer, zemin","He dropped his keys on the ground. Anahtarlarını yere düşürdü."
"A1 2 M","grow","verb","büyümek, yetiştirmek","Plants grow with water and sunlight. Bitkiler su ve güneş ışığıyla büyür."
"A1 2 M","grown-up","noun","yetişkin","Grown-ups work hard every day. Yetişkinler her gün çok çalışır."
"A1 2 M","have (got) to","verb","zorunda olmak","I have to finish my homework. Ödevimi bitirmek zorundayım."
"A1 2 M","headache","noun","baş ağrısı","She went home because of a headache. Baş ağrısı yüzünden eve gitti."
"A1 2 M","helmet","noun","kask","Always wear a helmet when riding a bike. Bisiklet sürerken her zaman kask tak."
"A1 2 M","help","verb","yardım etmek","Can you help me with this box? Bu kutuda bana yardım edebilir misin?"
"A1 2 M","hide","verb","saklanmak, gizlemek","The children are playing hide and seek. Çocuklar saklambaç oynuyor."
"A1 2 M","holiday","noun","tatil","We are going to Antalya for our holiday. Tatilimiz için Antalya'ya gidiyoruz."
"A1 2 M","homework","noun","ev ödevi","I always do my homework after school. Okuldan sonra her zaman ödevimi yaparım."
"A1 2 M","hop","verb","tek ayak üzerinde zıplamak","The children hopped across the room. Çocuklar odada zıplayarak ilerledi."
"A1 2 M","hospital","noun","hastane","The doctor works at the city hospital. Doktor şehir hastanesinde çalışıyor."
"A1 2 M","hot","adjective","sıcak","Be careful, the soup is very hot. Dikkat et, çorba çok sıcak."
"A1 2 M","how","adverb","nasıl","How do you make this cake? Bu keki nasıl yaparsın?"
"A1 2 M","how much","adv + int","ne kadar (fiyat/miktar)","How much does this book cost? Bu kitap ne kadar?"
"A1 2 M","how often","adv + int","ne sıklıkla","How often do you play tennis? Ne sıklıkla tenis oynarsın?"
"A1 2 M","huge","adjective","kocaman, devasa","An elephant is a huge animal. Fil devasa bir hayvandır."
"A1 2 M","hundred","noun","yüz (sayı)","There are one hundred pages in the book. Kitapta yüz sayfa var."
"A1 2 M","hungry","adjective","aç","I am very hungry, let's eat lunch. Çok açım, hadi öğle yemeği yiyelim."
"A1 2 M","hurt","verb","incitmek, acıtmak","He fell down and hurt his knee. Düşüp dizini incitti."
"A1 2 M","ice","noun","buz","Put some ice in my drink. İçeceğime biraz buz koy."
"A1 2 M","ice skates","noun","buz pateni (ayakkabısı)","He bought a new pair of ice skates. Yeni bir çift buz pateni aldı."
"A1 2 M","ice skating","noun","buz pateni yapma","We went ice skating in winter. Kışın buz pateni yapmaya gittik."
"A1 2 M","idea","noun","fikir","That is a very good idea. Bu çok iyi bir fikir."
"A1 2 M","ill","adjective","hasta","She stayed in bed because she was ill. Hasta olduğu için yatakta kaldı."
"A1 2 M","inside","adv + n + prep","içeride, içeri","It's raining outside, let's go inside. Dışarıda yağmur yağıyor, içeri girelim."
"A1 2 M","internet","noun","internet","I found this information on the internet. Bu bilgiyi internette buldum."
"A1 2 M","into","preposition","içeriye, içine","He went into his bedroom. Yatak odasına girdi."
"A1 2 M","invite","verb","davet etmek","They invited us to their party. Bizi partilerine davet ettiler."
"A1 2 M","island","noun","ada","They spent their holiday on a small island. Tatillerini küçük bir adada geçirdiler."
"A1 2 M","Jack","noun","özel isim (Jack)","Jack is playing football with his friends. Jack arkadaşlarıyla futbol oynuyor."
"A1 2 M","Jane","noun","özel isim (Jane)","Jane likes reading books in the library. Jane kütüphanede kitap okumayı sever."
"A1 2 M","Jim","noun","özel isim (Jim)","Jim has a fast red car. Jim'in hızlı kırmızı bir arabası var."
"A1 2 M","Julia","noun","özel isim (Julia)","Julia is studying English grammar. Julia İngilizce grameri çalışıyor."
"A1 2 M","jungle","noun","orman, cangıl","Monkeys live in the tropical jungle. Maymunlar tropikal ormanda yaşar."
"A1 2 M","kangaroo","noun","kanguru","A kangaroo can jump very far. Kanguru çok uzağa zıplayabilir."
"A1 2 M","kick","noun","tekme, vuruş","He scored with a powerful kick. Güçlü bir vuruşla gol attı."
"A1 2 M","kind","noun","tür, çeşit","What kind of music do you like? Ne tür müzik seversin?"
"A1 2 M","kitten","noun","kedi yavrusu","The playful kitten is chasing a ball. Oyuncu kedi yavrusu bir topu kovalıyor."
"A1 2 M","lake","noun","göl","We went swimming in the cool lake. Serin gölde yüzmeye gittik."
"A1 2 M","laptop","noun","dizüstü bilgisayar","I carry my laptop in a backpack. Dizüstü bilgisayarımı sırt çantamda taşıyorum."
"A1 2 M","last","adj + adv","geçen, son","I saw him last week. Onu geçen hafta gördüm."
"A1 2 M","laugh","noun + verb","gülüş / gülmek","His funny joke made everyone laugh. Komik şakası herkesi güldürdü."
"A1 2 M","leaf/leaves","noun","yaprak / yapraklar","Trees lose their leaves in autumn. Ağaçlar sonbaharda yapraklarını döker."
"A1 2 M","library","noun","kütüphane","I borrowed three books from the library. Kütüphaneden üç kitap ödünç aldım."
"A1 2 M","lift (US elevator)","noun","asansör","Take the lift to reach the third floor. Üçüncü kata ulaşmak için asansörü kullan."
"A1 2 M","Lily","noun","özel isim (Lily)","Lily has a beautiful white cat. Lily'nin güzel bir beyaz kedisi var."
"A1 2 M","lion","noun","aslan","The lion is known as the king of the jungle. Aslan ormanın kralı olarak bilinir."
"A1 2 M","little","adj + det","küçük, az","He has a little dog. Küçük bir köpeği var."
"A1 2 M","look for","verb","aramak","I am looking for my lost keys. Kayıp anahtarlarımı arıyorum."
"A1 2 M","lose","verb","kaybetmek","Don't lose your passport. Pasaportunu kaybetme."
"A1 2 M","loud","adjective","gürültülü, sesli","Please don't speak in a loud voice. Lütfen yüksek sesle konuşma."
"A1 2 M","loudly","adverb","yüksek sesle","He shouted loudly for help. Yüksek sesle yardım için bağırdı."
"A1 2 M","machine","noun","makine","This washing machine works very well. Bu çamaşır makinesi çok iyi çalışıyor."
"A1 2 M","map","noun","harita","Look at the city map to find the way. Yolu bulmak için şehir haritasına bak."
"A1 2 M","market","noun","pazar, market","We bought fresh fruit at the market. Pazardan taze meyve aldık."
"A1 2 M","Mary","noun","özel isim (Mary)","Mary plays the piano every afternoon. Mary her öğleden sonra piyano çalar."
"A1 2 M","matter","noun","mesele, sorun","What is the matter with you? Neyin var?"
"A1 2 M","mean","verb","anlamına gelmek","What does this word mean? Bu kelime ne anlama geliyor?"
"A1 2 M","message","noun","mesaj","I received a text message from my friend. Arkadaşımdan kısa bir mesaj aldım."
"A1 2 M","milkshake","noun","mİlksheyk","She ordered a chocolate milkshake. Çikolatalı milkshaker sipariş etti."
"A1 2 M","mistake","noun","hata","Everyone makes mistakes sometimes. Herkes bazen hata yapar."
"A1 2 M","model","noun","model, maket","He built a model of an airplane. Bir uçak maketi yaptı."
"A1 2 M","Monday","noun","pazartesi","We start work early on Monday. Pazartesi günleri işe erken başlarız."
"A1 2 M","moon","noun","ay","The moon shines brightly at night. Ay geceleri parıl parıl parlar."
"A1 2 M","more","adv + det + pron","daha fazla","I want to learn more English. Daha fazla İngilizce öğrenmek istiyorum."
"A1 2 M","most","adv + det + pron","en çok, çoğu","Most students like summer holidays. Öğrencilerin çoğu yaz tatilini sever."
"A1 2 M","mountain","noun","dağ","They climbed up the high mountain. Yüksek dağa tırmandılar."
"A1 2 M","moustache","noun","bıyık","He has a nice dark moustache. Hoş koyu bir bıyığı var."
"A1 2 M","move","verb","taşınmak, hareket etmek","They moved to a new house last month. Geçen ay yeni bir eve taşındılar."
"A1 2 M","movie (UK flm)","noun","film","We watched an exciting movie last night. Dün gece heyecan verici bir film izledik."
"A1 2 M","must","verb","meli, malı (zorunluluk)","You must finish your homework now. Ödevini şimdi bitirmelisin."
"A1 2 M","naughty","adjective","yaramaz","The naughty puppy chewed my shoe. Yaramaz köpek yavrusu ayakkabımı çiğnedi."
"A1 2 M","near","adv + prep","yakınında","Our house is near the school. Evimiz okula yakın."
"A1 2 M","neck","noun","boyun","He wears a scarf around his neck. Boynuna bir atkı takıyor."
"A1 2 M","need","verb","ihtiyacı olmak","I need some help with this task. Bu görev için biraz yardıma ihtiyacım var."
"A1 2 M","net","noun","file, ağ","The ball went straight into the net. Top doğrudan fileye gitti."
"A1 2 M","never","adverb","asla","I have never been to London. Asla Londra'da bulunmadım."
"A1 2 M","noise","noun","gürültü","Please stop making that noise. Lütfen o gürültüyü yapmayı kes."
"A1 2 M","noodles","noun","erişte, noodle","I like eating Asian noodles. Asya usulü noodle yemeyi severim."
"A1 2 M","nothing","pronoun","hiçbir şey","There is nothing in the box. Kutuda hiçbir şey yok."
"A1 2 M","nurse","noun","hemşire","The nurse helped the sick man. Hemşire hasta adamaya yardım etti."
"A1 2 M","o’clock","adverb","saat (tam saatler için)","The meeting starts at two o'clock. Toplantı saat ikide başlıyor."
"A1 2 M","off","adv + prep","uzakta, üzerinden","Take your wet jacket off. Islak ceketini çıkar."
"A1 2 M","often","adverb","sık sık","How often do you visit your parents? Ailenizi ne sıklıkla ziyaret edersiniz?"
"A1 2 M","on","adv + prep of time","üzerinde / de (zaman)","My birthday is on Monday. Doğum günüm pazartesi günü."
"A1 2 M","only","adverb","sadece, yalnızca","I have only one brother. Sadece bir erkek kardeşim var."
"A1 2 M","opposite","preposition","karşısında","The post office is opposite the bank. Postane bankanın karşısındadır."
"A1 2 M","out","adverb","dışarı, dışarıda","He went out for a walk. Yürüyüş için dışarı çıktı."
"A1 2 M","out of","preposition","dışına, içinden","He took a book out of his bag. Çantasından bir kitap çıkardı."
"A1 2 M","outside","adv + n + prep","dışarıda, dışarı","It is cold outside, wear a coat. Dışarısı soğuk, mont giy."
"A1 2 M","pair","noun","çift","I bought a new pair of shoes. Yeni bir çift ayakkabı satın aldım."
"A1 2 M","pancake","noun","pankek","Mom made delicious pancakes for breakfast. Anne kahvaltı için lezzetli pankekler yaptı."
"A1 2 M","panda","noun","panda","The giant panda eats bamboo. Dev panda bambu yer."
"A1 2 M","parent","noun","ebeveyn (anne veya baba)","Every student should respect their parents. Her öğrenci ebeveynlerine saygı duymalıdır."
"A1 2 M","parrot","noun","papağan","The colourful parrot can speak words. Renkli papağan kelimeler konuşabilir."
"A1 2 M","party","noun","parti","We are organizing a birthday party. Bir doğum günü partisi organize ediyoruz."
"A1 2 M","pasta","noun","makarna","I love eating Italian pasta. İtalyan makarnası yemeyi çok severim."
"A1 2 M","Paul","noun","özel isim (Paul)","Paul plays tennis every Sunday. Paul her pazar tenis oynar."
"A1 2 M","penguin","noun","penguen","Penguins live in cold regions. Penguenler soğuk bölgelerde yaşar."
"A1 2 M","Peter","noun","özel isim (Peter)","Peter is my best friend at school. Peter okuldaki en iyi arkadaşımdır."
"A1 2 M","picnic","noun","piknik","We went on a family picnic in spring. Baharda ailece pikniğe gittik."
"A1 2 M","pirate","noun","korsan","The story is about a brave pirate. Hikaye cesur bir korsan hakkındadır."
"A1 2 M","place","noun","yer, mekan","This is a very nice place. Burası çok güzel bir yer."
"A1 2 M","plant","noun + verb","bitki / dikmek","She likes planting flowers in her garden. Bahçesine çiçek dikmeyi sever."
"A1 2 M","plate","noun","tabak","Put the food on the plate. Yemeği tabağa koy."
"A1 2 M","player","noun","oyuncu","He is the best player on the team. Takımdaki en iyi oyuncudur."
"A1 2 M","pool","noun","havuz","We swam in the hotel pool. Otel havuzunda yüzdük."
"A1 2 M","pop star","noun","pop yıldızı","She wants to become a famous pop star. Ünlü bir pop yıldızı olmak istiyor."
"A1 2 M","practice","noun","pratik, alıştırma","Daily practice improves your skills. Günlük pratik becerilerini geliştirir."
"A1 2 M","practise","verb","pratik yapmak, çalışmak","You need to practise speaking English. İngilizce konuşma pratiği yapman gerekiyor."
"A1 2 M","present","noun","hediye","Thank you for the wonderful birthday present. Harika doğum günü hediyesi için teşekkür ederim."
"A1 2 M","pretty","adjective","güzel, sevimli","She is wearing a pretty pink dress. Sevimli bir pembe elbise giyiyor."
"A1 2 M","puppy","noun","köpek yavrusu","The playful puppy is running in the garden. Oyuncu köpek yavrusu bahçede koşuyor."
"A1 2 M","put on","verb","giymek, takmak","Put on your shoes before going out. Çıkmadan önce ayakkabılarını giy."
"A1 2 M","quick","adjective","hızlı","We need to make a quick decision. Hızlı bir karar vermemiz gerekiyor."
"A1 2 M","quickly","adverb","hızlıca","She finished her homework quickly. Ödevini hızlıca bitirdi."
"A1 2 M","quiet","adjective","sessiz","Please keep quiet in the library. Lütfen kütüphanede sessiz olun."
"A1 2 M","quietly","adverb","sessizce","He entered the room quietly. Odaya sessizce girdi."
"A1 2 M","rabbit","noun","tavşan","A rabbit likes eating carrots. Bir tavşan havuç yemeyi sever."
"A1 2 M","rain","noun + verb","yağmur / yağmak","It started to rain heavily. Şiddetli bir şekilde yağmur yağmaya başladı."
"A1 2 M","rainbow","noun","gökkuşağı","We saw a colorful rainbow after the rain. Yağmurdan sonra renkli bir gökkuşağı gördük."
"A1 2 M","ride","noun","gezinti, biniş","Let's go for a bike ride. Bisiklet gezintisine çıkalım."
"A1 2 M","river","noun","nehir, çay","The river flows through the city. Nehir şehrin içinden akıyor."
"A1 2 M","road","noun","yol","The road to the village is narrow. Köye giden yol dardır."
"A1 2 M","rock","noun","kaya","He sat down on a large rock. Büyük bir kayanın üzerine oturdu."
"A1 2 M","roller skates","noun","paten","She received roller skates for her birthday. Doğum gününde paten aldı."
"A1 2 M","roller skating","noun","paten sürme","Roller skating is a fun outdoor activity. Paten sürmek eğlenceli bir açık hava aktivitesidir."
"A1 2 M","roof","noun","çatı","The cat is walking on the roof. Kedi çatıda yürüyor."
"A1 2 M","round","adj + adv + prep","yuvarlak / etrafında","The earth is round. Dünya yuvarlaktır."
"A1 2 M","safe","adjective","güvenli","It is a safe place for children. Çocuklar için güvenli bir yerdir."
"A1 2 M","sail","noun + var","yelken açmak / yelken","They went sailing on the lake. Göl üzerinde yelken açmaya gittiler."
"A1 2 M","salad","noun","salata","I eat a fresh green salad every day. Her gün taze yeşil salata yerim."
"A1 2 M","Sally","noun","özel isim (Sally)","Sally likes reading books in her room. Sally odasında kitap okumayı sever."
"A1 2 M","sandwich","noun","sandviç","I ate a cheese sandwich for lunch. Öğle yemeğinde peynirli sandviç yedim."
"A1 2 M","Saturday","noun","cumartesi","We don't go to school on Saturday. Cumartesi günleri okula gitmiyoruz."
"A1 2 M","sauce","noun","sos","This tomato sauce is very delicious. Bu domates sosu çok lezzetli."
"A1 2 M","scarf","noun","atkı, şal","She is wearing a red woolen scarf. Kırmızı yünlü bir atkı takıyor."
"A1 2 M","score","verb","skor yapmak, gol atmak","He scored two goals in the match. Maçta iki gol attı."
"A1 2 M","seat","noun","koltuk, oturacak yer","Please take your seat, the class is starting. Lütfen yerinize oturun, ders başlıyor."
"A1 2 M","second","adj + adv","ikinci / saniye","He came in second in the race. Yarışta ikinci geldi."
"A1 2 M","send","verb","göndermek","I sent an email to my boss. Patronuma bir e-posta gönderdim."
"A1 2 M","shall","verb","-elim / -elim mi (öneri kipi)","Shall we go for a walk? Yürüyüşe çıkalım mı?"
"A1 2 M","shape","noun","şekil","Draw a geometric shape on the paper. Kağıda geometrik bir şekil çiz."
"A1 2 M","shark","noun","köpekbalığı","We saw a big shark in the aquarium. Akvaryumda büyük bir köpekbalığı gördük."
"A1 2 M","shop","verb","alışveriş yapmak","She likes to shop at the weekend. Hafta sonu alışveriş yapmayı sever."
"A1 2 M","shopping centre","noun","alışveriş merkezi","We spent the afternoon at the shopping centre. Alışveriş merkezinde öğleden sonra geçirdik."
"A1 2 M","shopping","noun","alışveriş","I need to do some grocery shopping. Biraz market alışverişi yapmam gerekiyor."
"A1 2 M","shoulder","noun","omuz","He carried the bag on his shoulder. Çantayı omuzunda taşıdı."
"A1 2 M","shout","verb","bağırmak","Don't shout at me, please. Lütfen bana bağırma."
"A1 2 M","shower","noun","duş","I take a cold shower in the morning. Sabahları soğuk duş alırım."
"A1 2 M","sick","adjective","hasta","He stayed at home because he was sick. Hasta olduğu için evde kaldı."
"A1 2 M","skate","noun + verb","paten / paten yapmak","He loves to skate in winter. Kışın paten yapmayı çok sever."
"A1 2 M","skip","verb","ip atlamak","Children are skipping in the yard. Avluda çocuklar ip atlıyor."
"A1 2 M","sky","noun","gökyüzü","The sky is clear and blue today. Bugün gökyüzü açık ve mavi."
"A1 2 M","slow","adjective","yavaş","The traffic is very slow today. Trafik bugün çok yavaş."
"A1 2 M","slowly","adverb","yavaşça","Please speak more slowly. Lütfen daha yavaş konuş."
"A1 2 M","snail","noun","salyangoz","A snail moves very slowly. Bir salyangoz çok yavaş hareket eder."
"A1 2 M","snow","noun + var","kar / kar yağmak","It started to snow in the morning. Sabah kar yağmaya başladı."
"A1 2 M","someone","pronoun","biri, birisi","Someone is knocking on the door. Kapıyı biri çalıyor."
"A1 2 M","something","pronoun","bir şey","I want to tell you something important. Sana önemli bir şey söylemek istiyorum."
"A1 2 M","sometimes","adverb","bazen","Sometimes I drink tea in the evening. Bazen akşamları çay içerim."
"A1 2 M","son","noun","oğul, erkek evlat","They have two sons and a daughter. İki oğulları ve bir kızları var."
"A1 2 M","soup","noun","çorba","I like drinking hot tomato soup. Sıcak domates çorbası içmeyi severim."
"A1 2 M","sports centre","noun","spor merkezi","We play tennis at the sports centre. Spor merkezinde tenis oynarız."
"A1 2 M","square","adj + n","kare / meydan","They met at the main city square. Ana şehir meydanında buluştular."
"A1 2 M","stair(s)","noun","merdiven","He walked up the stairs carefully. Merdivenlerden dikkatlice çıktı."
"A1 2 M","star","noun","yıldız","The night sky is full of stars. Gece gökyüzü yıldızlarla dolu."
"A1 2 M","station","noun","istasyon","We waited for the train at the station. Trende istasyonda bekledik."
"A1 2 M","stomach","noun","mide","He had a pain in his stomach. Mikesinde bir ağrı vardı."
"A1 2 M","stomach-ache","noun","karın ağrısı, mide ağrısı","Eating too much candy gives you a stomach-ache. Çok fazla şeker yemek karın ağrısı yapar."
"A1 2 M","straight","adjective","düz","Walk straight down this street. Bu sokak boyunca düz yürü."
"A1 2 M","strong","adjective","güçlü, kuvvetli","He is a very strong athlete. O çok güçlü bir spordur."
"A1 2 M","Sunday","noun","pazar","We usually visit our grandparents on Sunday. Genellikle pazar günü büyükannemizi ziyarete gideriz."
"A1 2 M","sunny","adjective","güneşli","It is a bright and sunny day. Parlak ve güneşli bir gün."
"A1 2 M","supermarket","noun","süpermarket","We bought food at the supermarket. Süpermarketten yiyecek satın aldık."
"A1 2 M","surprised","adjective","şaşırmış","She looked surprised when she saw the gift. Hediyeyi gördüğünde şaşırmış görünüyordu."
"A1 2 M","sweater","noun","kazak","Put on a woolen sweater, it's cold. Yün bir kazak giy, hava soğuk."
"A1 2 M","sweet","adjective","tatlı","This apple is very sweet and juicy. Bu elma çok tatlı ve sulu."
"A1 2 M","swim","noun","yüzme","Let's go for a swim in the pool. Havuzda yüzmeye gidelim."
"A1 2 M","swimming pool","noun","yüzme havuzu","Children are swimming in the pool. Çocuklar havuzda yüzüyor."
"A1 2 M","swimsuit","noun","mayo","She bought a new blue swimsuit. Yeni bir mavi mayo satın aldı."
"A1 2 M","take","verb","almak","Take your umbrella, it might rain. Şemsiyeni al, yağmur yağabilir."
"A1 2 M","take off (i.e. get)","verb","çıkarmak (giysi vb.)","Take off your wet shoes. Islak ayakkabılarını çıkar."
"A1 2 M","tall","adjective","uzun boylu","He is the tallest boy in our class. O sınıfımızdaki en uzun boylu çocuktur."
"A1 2 M","tea","noun","çay","I like drinking hot black tea. Sıcak siyah çay içmeyi severim."
"A1 2 M","teach","verb","öğretmek","She teaches English at a high school. Bir lisede İngilizce öğretiyor."
"A1 2 M","temperature","noun","sıcaklık, ateş","The temperature outside is very low. Dışarıdaki sıcaklık çok düşük."
"A1 2 M","terrible","adjective","korkunç, berbat","We had terrible weather during our holiday. Tatilimizde berbat bir hava vardı."
"A1 2 M","text","noun + verb","metin / mesaj atmak","Send me a text message later. Bana daha sonra bir kısa mesaj at."
"A1 2 M","than","conj + prep","-den daha (karşılaştırma)","My car is faster than yours. Benim arabam seninkinden daha hızlı."
"A1 2 M","then","adverb","o zaman, o sırada","I was busy then. O sırada meşguldüm."
"A1 2 M","thin","adjective","ince, zayıf","He is wearing a thin cotton shirt. İnce pamuklu bir gömlek giyiyor."
"A1 2 M","think","verb","düşünmek","What do you think about this plan? Bu plan hakkında ne düşünüyorsun?"
"A1 2 M","third","adj + adv","üçüncü","He finished the race in third place. Yarışı üçüncü sırada bitirdi."
"A1 2 M","thirsty","adjective","susamış","Running makes me very thirsty. Koşmak beni çok susatıyor."
"A1 2 M","Thursday","noun","perşembe","Our next English test is on Thursday. Sonraki İngilizce sınavımız perşembe günü."
"A1 2 M","ticket","noun","bilet","I bought two cinema tickets. İki sinema bileti satın aldım."
"A1 2 M","tired","adjective","yorgun","I am very tired after working all day. Bütün gün çalıştıktan sonra çok yorgunum."
"A1 2 M","tooth/teeth","noun","diş / dişler","Brush your teeth twice a day. Dişlerini günde iki kez fırçala."
"A1 2 M","toothache","noun","diş ağrısı","He went to the dentist because of a toothache. Diş ağrısı yüzünden diş hekimine gitti."
